"campo"                             ;"descricao"                                                                         ;"resposta"
"cd_ibge"                           ;"codigo do ibge do municipio"                                                       ;
"cod_familiar_fam"                  ;"Codigo familiar"                                                                   ;""
"dat_cadastramento_fam"             ;"Data de cadastramento da familia"                                                  ;""
"dat_atual_fam"                     ;"Data da ultima atualizacao da familia"                                             ;""
"cod_est_cadastral_fam"             ;"Estado cadastral da familia"                                                       ;"2 - Sem Registro Civil#3 - Cadastrado"
"cod_forma_coleta_fam"              ;"Forma de coleta"                                                                   ;"0 - Informacao migrada como inexistente#1 - Sem visita Domiciliar#2 - Com visita domiciliar"
"dta_entrevista_fam"                ;"Data da entrevista"                                                                ;""
"nom_localidade_fam"                ;"Nome da localidade"                                                                ;""
"nom_tip_logradouro_fam"            ;"Tipo de logradouro"                                                                ;""
"nom_titulo_logradouro_fam"         ;"Titulo do logradouro"                                                              ;""
"nom_logradouro_fam"                ;"Nome do logradouro"                                                                ;""
"num_logradouro_fam"                ;"Numero do logradouro"                                                              ;""
"des_complemento_fam"               ;"Complemento do numero"                                                             ;""
"des_complemento_adic_fam"          ;"Complemento adicional"                                                             ;""
"num_cep_logradouro_fam"            ;"CEP"                                                                               ;""
"cod_unidade_territorial_fam"       ;"Codigo da unidade territorial local"                                               ;""
"nom_unidade_territorial_fam"       ;"Nome da unidade territorial local"                                                 ;""
"txt_referencia_local_fam"          ;"Referencia para localizacao do endereco"                                           ;""
"nom_entrevistador_fam"             ;"Nome do entrevistador"                                                             ;""
"num_cpf_entrevistador_fam"         ;"CPF do entrevistador"                                                              ;""
"vlr_renda_media_fam"               ;"Valor da renda familiar per capita"                                                ;""
"fx_rfpc"                           ;"Faixa da renda familiar per capita"                                                ;"1-Ate R$89,00#2-Entre R$85,01 ate R$178,00#3-Entre R$178,01 ate 1/2 S.M.#4-Acima de 1/2 S.M."
"vlr_renda_total_fam"               ;"Valor da renda total da familia"                                                   ;""
"marc_pbf"                          ;"Recebe PBF pessoa"                                                                 ;"0 - Nao#1 - Sim"
"qtde_meses_desat_cat"              ;"Numero de meses apos a ultima atualizacao cadastral"                               ;"0 - ate 12 Meses#1 - 13 a 18 Meses#2 - 19 a 24 Meses#3 - 25 a 36 Meses#4 - 37 a 48 Meses#5 - acima de 48 Meses"
"cod_local_domic_fam"               ;"Situacao do domicilio"                                                             ;"1 - Urbanas#2 - Rurais"
"cod_especie_domic_fam"             ;"Especie do domicilio"                                                              ;"1 - Particular Permanente#2 - Particular improvisado#3 - Coletivo"
"qtd_comodos_domic_fam"             ;"Quantidade de comodos do domicilio"                                                ;""
"qtd_comodos_dormitorio_fam"        ;"Comodo servindo como dormitorio do domicilio"                                      ;""
"cod_material_piso_fam"             ;"Material predominante no piso do domicilio"                                        ;"1 - Terra#2 - Cimento#3 -aplicacoes.mds.gov.br/sagi/simulacao/cecadAdm/ Madeira aproveitada#4 - Madeira aparelhada#5 - Ceramica, lajota ou pedra#6 - Carpete#7 - Outro Material"
"cod_material_domic_fam"            ;"Material predominante nas paredes externas do domicilio"                           ;"1 - Alvenaria/tijolo com revestimento#2 - Alvenaria/tijolo sem revestimento#3 - Madeira aparelhada#4 - Taipa revestida#5 - Taipa nao revestida#6 - Madeira aproveitada#7 - Palha#8 - Outro Material"
"cod_agua_canalizada_fam"           ;"Água canalizada no domicilio"                                                      ;"1 - Sim#2 - Nao"
"cod_abaste_agua_domic_fam"         ;"Forma de abastecimento de agua"                                                    ;"1 - Rede geral de distribuicao#2 - Poco ou nascente#3 - Cisterna#4 - Outra forma"
"cod_banheiro_domic_fam"            ;"Existencia de banheiro"                                                            ;"1 - Sim#2 - Nao"
"cod_escoa_sanitario_domic_fam"     ;"Forma de escoamento sanitario"                                                     ;"1 - Rede coletora de esgoto ou pluvial#2 - Fossa septica#3 - Fossa rudimentar#4 - Vala a ceu aberto#5 - Direto para um rio, lago ou mar#6 - Outra forma"
"cod_destino_lixo_domic_fam"        ;"Forma de coleta do lixo"                                                           ;"1 - E coletado diretamente#2 - E coletado indiretamente#3 - E queimado ou enterrado na propriedade#4 - E jogado em terreno baldio ou logradouro (rua, avenida, etc.)#5 - E jogado em rio ou mar#6 - Tem outro destino"
"cod_iluminacao_domic_fam"          ;"Tipo de iluminacao"                                                                ;"1 - Eletrica com medidor proprio#2 - Eletrica com medidor comunitario#3 - Eletrica sem medidor#4 - Oleo, querosene ou gas#5 - Vela#6 - Outra forma"
"cod_calcamento_domic_fam"          ;"Calcamento em frente ao seu domicilio"                                             ;"1 - Total#2 - Parcial#3 - Nao existe"
"cod_familia_indigena_fam"          ;"Familia Indigena"                                                                  ;"1 - Sim#2 - Nao"
"cod_povo_indigena_fam"             ;"Codigo de povo indigena"                                                           ;""
"nom_povo_indigena_fam"             ;"Nome do povo indigena"                                                             ;""
"cod_indigena_reside_fam"           ;"Reside em reserva indigena"                                                        ;"1 - Sim#2 - Nao"
"cod_reserva_indigena_fam"          ;"Codigo da reserva indigena"                                                        ;""
"nom_reserva_indigena_fam"          ;"Nome da reserva indigena"                                                          ;""
"ind_familia_quilombola_fam"        ;"Familia quilombola  "                                                              ;"1 - Sim#2 - Nao"
"cod_comunidade_quilombola_fam"     ;"Codigo da comunidade quilombola"                                                   ;""
"nom_comunidade_quilombola_fam"     ;"Nome da comunidade quilombola"                                                     ;""
